id,date,name,price,volume
1137093,2025-07-16,LNC,33.65,2309000
1136995,2025-07-16,LPLA,368.31,727086
1136954,2025-07-16,LYG,4.15,12833000
1136919,2025-07-16,MA,555.52,2424000
1137095,2025-07-16,MAIN,64.4,415117
1137107,2025-07-16,MC,71.08,757147
1136948,2025-07-16,MCO,500.23,704686
1136971,2025-07-16,MET,76.59,2776000
1136970,2025-07-16,MFC,30.46,1731000
1136959,2025-07-16,MFG,5.52,5549000
1136999,2025-07-16,MKL,1996.39,35099
1137061,2025-07-16,MKTX,215.53,263776
1136941,2025-07-16,MMC,211.98,3331000
1137035,2025-07-16,MORN,289.74,321642
1136923,2025-07-16,MS,139.79,10608000
1136976,2025-07-16,MSCI,572.13,840852
1136985,2025-07-16,MTB,192.52,2700000
1137082,2025-07-16,MTG,25.11,3061000
1136933,2025-07-16,MUFG,13.35,4391000
1136973,2025-07-16,NDAQ,89.04,1691000
1137015,2025-07-16,NMR,6.3,911571
1137003,2025-07-16,NTRS,124.81,2026000
1136964,2025-07-16,NU,13.85,106950000
1136977,2025-07-16,NWG,13.31,3849000
1137091,2025-07-16,OBDC,14.95,2662000
1137076,2025-07-16,OMF,57.22,1260000
1137065,2025-07-16,ONB,22.77,2449000
1137052,2025-07-16,ORI,36.72,1633000
1136990,2025-07-16,OWL,20.18,10879000
1137092,2025-07-16,OZK,51.17,787399
1137074,2025-07-16,PB,72.4,552517
1137087,2025-07-16,PDI,18.87,1789000
1137016,2025-07-16,PFG,79.82,940196
1137104,2025-07-16,PFSI,99.53,383343
1136934,2025-07-16,PGR,246.46,6060000
1137110,2025-07-16,PIPR,307.26,287416
1137069,2025-07-16,PJT,184.19,350070
1136952,2025-07-16,PNC,193.93,3764000
1137054,2025-07-16,PNFP,116.5,1072000
1137056,2025-07-16,PRI,263.57,118265
1136979,2025-07-16,PRU,102.2,1699000
1137120,2025-07-16,PSLV,12.76,41076454
1136983,2025-07-16,PUK,24.77,926526
1136955,2025-07-16,PYPL,72.97,9119000
1137080,2025-07-16,QFIN,41.37,1315000
1137106,2025-07-16,RDN,33.85,1400000
1137008,2025-07-16,RF,24.08,11168000
1137033,2025-07-16,RGA,193.96,439676
1136986,2025-07-16,RJF,156.15,1340000
1136996,2025-07-16,RKT,13.6,11517000
1137119,2025-07-16,RLI,70.45,482291
1137036,2025-07-16,RNR,239.21,396692
1136929,2025-07-16,RY,131.99,744489
1137021,2025-07-16,RYAN,66.65,1704000
1136937,2025-07-16,SAN,8.45,10576000
1136931,2025-07-16,SCHW,91.26,10825000
1137037,2025-07-16,SEIC,92.29,708943
1137046,2025-07-16,SF,107.55,975450
1137113,2025-07-16,SFBS,81.22,262426
1137002,2025-07-16,SHG,49.68,430908
1137099,2025-07-16,SIGI,87.32,394824
1136980,2025-07-16,SLF,62.45,409707
1137072,2025-07-16,SLM,32.695,1397000
1136946,2025-07-16,SMFG,14.6,3306000
1137067,2025-07-16,SNV,52.87,1552000
1137005,2025-07-16,SOFI,21.39,55454000
1136932,2025-07-16,SPGI,524.36,824995
1137068,2025-07-16,SSB,95.93,950898
1137070,2025-07-16,STEP,59.64,469859
1136989,2025-07-16,STT,105.03,4624000
1136997,2025-07-16,SYF,69.3,2503000
1136935,2025-07-16,TD,74.01,1280000
1136966,2025-07-16,TFC,44.36,11340000
1137089,2025-07-16,THG,163.76,348700
1137009,2025-07-16,TPG,56.36,3137000
1137007,2025-07-16,TROW,103.05,1513000
1137019,2025-07-16,TRU,91.33,2839000
1136967,2025-07-16,TRV,252.19,1428000
1136992,2025-07-16,TW,136.14,1025000
1136939,2025-07-16,UBS,35.97,2357000
1137109,2025-07-16,UBSI,36.73,1076000
1137100,2025-07-16,UMBF,108.49,363524
1137026,2025-07-16,UNM,80.43,1292000
1136957,2025-07-16,USB,45.68,21082000
1137077,2025-07-16,UWMC,4.21,8860000
1136918,2025-07-16,V,349.9,5542000
1137073,2025-07-16,VIRT,44.64,618530
1137101,2025-07-16,VLY,9.25,6601000
1137075,2025-07-16,VOYA,71.43,676133
1137053,2025-07-16,WAL,82.36,917316
1137049,2025-07-16,WBS,58.44,1623000
1137032,2025-07-16,WF,53.79,150847
1136922,2025-07-16,WFC,79.91,30557000
1136998,2025-07-16,WRB,67.97,2237000
1137058,2025-07-16,WTFC,129.66,334810
1137112,2025-07-16,WTM,1778.0,34328
1136987,2025-07-16,WTW,307.59,769419
1137050,2025-07-16,XP,18.28,5068000
1137060,2025-07-16,ZION,55.1,875693
1137190,2025-07-17,ACGL,88.66,2114000
1137306,2025-07-17,ACT,35.09,168707
1137251,2025-07-17,AEG,7.07,4742000
1137255,2025-07-17,AFG,127.34,387447
1137177,2025-07-17,AFL,101.42,1527000
1137183,2025-07-17,AIG,80.99,3095000
1137259,2025-07-17,AIZ,188.08,354881
1137169,2025-07-17,AJG,313.91,1053000
1137182,2025-07-17,ALL,193.02,1816000
1137230,2025-07-17,ALLY,40.24,3108000
1137292,2025-07-17,AMG,210.72,311816
1137180,2025-07-17,AMP,539.82,385161
1137161,2025-07-17,AON,354.63,963123
1137157,2025-07-17,APO,156.05,3410000
1137233,2025-07-17,ARCC,23.25,3068000
1137176,2025-07-17,ARES,183.17,1611000
1137134,2025-07-17,AXP,315.35,2501000
1137271,2025-07-17,AXS,97.0,646962
1137128,2025-07-17,BAC,47.02,56266000
1137211,2025-07-17,BAM,61.49,3327000
1137228,2025-07-17,BAP,225.57,341008
1137326,2025-07-17,BBAR,15.18,636239
1137158,2025-07-17,BBVA,14.85,1355000
1137237,2025-07-17,BCH,28.45,382805
1137170,2025-07-17,BCS,19.01,21239000
1137242,2025-07-17,BEN,24.52,3513000
1137165,2025-07-17,BK,97.92,4859000
1137138,2025-07-17,BLK,1105.38,1068000
1137322,2025-07-17,BMA,65.5,436289
1137164,2025-07-17,BMO,114.36,493328
1137152,2025-07-17,BN,68.14,4804000
1137171,2025-07-17,BNS,55.05,1740000
1137249,2025-07-17,BNT,68.0,15099
1137286,2025-07-17,BOKF,103.88,140139
1137270,2025-07-17,BPOP,114.85,308060
1137124,2025-07-17,BRK-A,709820.0,353
1137200,2025-07-17,BRO,104.13,2578000
1137263,2025-07-17,BSAC,23.58,518765
1137186,2025-07-17,BSBR,5.12,617316
1137135,2025-07-17,BX,172.49,5718000
1137280,2025-07-17,BXSL,32.45,848703
1137132,2025-07-17,C,93.09,21507000
1137294,2025-07-17,CACC,505.06,101405
1137291,2025-07-17,CADE,35.0,1986000
1137148,2025-07-17,CB,275.46,2459000
1137330,2025-07-17,CEF,30.89,400930
1137217,2025-07-17,CFG,48.82,12110000
1137265,2025-07-17,CFR,138.53,577885
1137218,2025-07-17,CG,60.11,2431000
1137246,2025-07-17,CIB,46.18,332748
1137215,2025-07-17,CINF,149.03,407627
1137192,2025-07-17,CM,73.02,800233
1137269,2025-07-17,CMA,62.42,3132000
1137153,2025-07-17,CME,277.82,1769000
1137247,2025-07-17,CNA,44.1,634561
1137325,2025-07-17,CNS,75.56,370449
1137159,2025-07-17,COF,218.0,3110000
1137151,2025-07-17,COIN,410.75,14991000
1137313,2025-07-17,COLB,24.35,1969000
1137221,2025-07-17,CRBG,35.3,1824000
1137331,2025-07-17,CRCL,235.08,28636913
1137329,2025-07-17,CRVL,96.98,140250
1137173,2025-07-17,DB,30.12,1918000
1137323,2025-07-17,DNB,9.11,6689000
1137238,2025-07-17,EG,334.0,166231
1137232,2025-07-17,EQH,52.61,2314000
1137225,2025-07-17,ERIE,354.17,73356
1137296,2025-07-17,ESNT,56.08,656021
1137252,2025-07-17,EVR,298.95,581040
1137234,2025-07-17,EWBC,108.22,1091000
1137303,2025-07-17,FAF,56.17,1511000
1137298,2025-07-17,FCFS,132.42,177376
1137201,2025-07-17,FCNCA,2113.8,69882
1137231,2025-07-17,FDS,436.57,179918
1137310,2025-07-17,FFIN,36.79,560575
1137324,2025-07-17,FG,31.38,138447
1137248,2025-07-17,FHN,22.21,10368000
1137202,2025-07-17,FITB,42.61,12221000
1137319,2025-07-17,FLG,11.37,4729000
1137305,2025-07-17,FNB,15.87,5350000
1137235,2025-07-17,FNF,54.51,1215000
1137293,2025-07-17,FSK,22.48,1197000
1137220,2025-07-17,FUTU,150.06,3159000
1137311,2025-07-17,GBCI,45.79,819608
1137257,2025-07-17,GL,121.6,541683
1137129,2025-07-17,GS,705.84,1827000
1137212,2025-07-17,HBAN,16.98,52231000
1137136,2025-07-17,HDB,76.14,1697000
1137189,2025-07-17,HIG,122.33,1732000
1137239,2025-07-17,HLI,197.43,281004
1137267,2025-07-17,HLNE,159.1,719366
1137302,2025-07-17,HOMB,29.13,2113000
1137155,2025-07-17,HOOD,105.42,37304000
1137133,2025-07-17,HSBC,63.25,1247000
1137210,2025-07-17,IBKR,59.43,5928000
1137146,2025-07-17,IBN,33.23,4210000
1137149,2025-07-17,ICE,181.94,1447000
1137167,2025-07-17,ING,22.73,2448000
1137274,2025-07-17,IVZ,17.28,4086000
1137315,2025-07-17,IX,22.29,161121
